98|43
91|38
91|97
11|56
11|72
11|55
36|34
36|73
36|66
36|49
22|69
22|37
22|98
22|36
22|45
69|97
69|85
69|75
69|42
69|45
69|39
38|19
38|33
38|63
38|94
38|69
38|41
38|93
82|22
82|91
82|24
82|76
82|87
82|94
82|45
82|39
96|73
96|37
96|35
96|85
96|45
96|39
96|69
96|62
96|57
23|68
23|86
23|91
23|98
23|47
23|45
23|97
23|89
23|42
23|37
75|39
75|97
75|62
75|42
75|99
75|33
75|29
75|68
75|86
75|53
75|38
66|68
66|85
66|77
66|38
66|94
66|72
66|49
66|86
66|99
66|22
66|29
66|82
56|19
56|69
56|76
56|37
56|24
56|77
56|93
56|94
56|23
56|72
56|55
56|47
56|22
85|67
85|59
85|19
85|99
85|94
85|93
85|43
85|77
85|22
85|63
85|49
85|72
85|34
85|76
43|59
43|33
43|93
43|76
43|96
43|63
43|53
43|69
43|82
43|31
43|22
43|49
43|23
43|77
43|72
63|35
63|89
63|14
63|45
63|47
63|57
63|37
63|19
63|24
63|62
63|98
63|97
63|11
63|69
63|36
63|75
19|75
19|57
19|87
19|45
19|73
19|23
19|47
19|24
19|89
19|97
19|66
19|62
19|69
19|91
19|96
19|39
19|35
49|82
49|33
49|19
49|22
49|67
49|87
49|45
49|96
49|47
49|72
49|53
49|63
49|76
49|98
49|41
49|55
49|23
49|93
53|19
53|82
53|67
53|22
53|69
53|31
53|72
53|87
53|55
53|96
53|77
53|47
53|23
53|45
53|93
53|98
53|76
53|56
53|59
89|77
89|33
89|34
89|97
89|43
89|41
89|29
89|42
89|53
89|86
89|66
89|62
89|59
89|93
89|85
89|14
89|56
89|38
89|68
89|31
55|72
55|75
55|96
55|37
55|93
55|82
55|47
55|24
55|91
55|77
55|23
55|35
55|94
55|22
55|41
55|19
55|45
55|98
55|69
55|59
55|63
86|68
86|49
86|67
86|34
86|59
86|77
86|55
86|72
86|38
86|82
86|63
86|99
86|43
86|22
86|94
86|33
86|85
86|53
86|76
86|29
86|41
86|93
94|24
94|14
94|97
94|42
94|96
94|62
94|23
94|47
94|75
94|36
94|87
94|63
94|35
94|76
94|39
94|91
94|37
94|98
94|73
94|69
94|89
94|19
94|45
59|36
59|94
59|35
59|67
59|69
59|76
59|24
59|72
59|23
59|93
59|41
59|22
59|75
59|63
59|96
59|91
59|45
59|87
59|47
59|98
59|77
59|19
59|37
59|82
57|34
57|59
57|56
57|31
57|85
57|99
57|66
57|97
57|49
57|14
57|55
57|33
57|41
57|62
57|73
57|43
57|42
57|86
57|89
57|53
57|68
57|38
57|11
57|29
76|98
76|23
76|96
76|57
76|89
76|19
76|39
76|42
76|97
76|87
76|24
76|91
76|62
76|73
76|14
76|69
76|75
76|37
76|35
76|47
76|45
76|63
76|36
76|11
87|89
87|47
87|66
87|57
87|91
87|37
87|69
87|73
87|98
87|86
87|35
87|68
87|14
87|39
87|42
87|75
87|11
87|85
87|45
87|34
87|36
87|97
87|24
87|62
35|62
35|86
35|33
35|42
35|36
35|89
35|73
35|39
35|56
35|14
35|99
35|43
35|68
35|31
35|85
35|29
35|34
35|53
35|38
35|66
35|57
35|11
35|97
35|49
41|24
41|72
41|75
41|37
41|35
41|96
41|63
41|87
41|22
41|19
41|23
41|94
41|82
41|67
41|69
41|77
41|91
41|45
41|98
41|47
41|39
41|36
41|93
41|76
14|49
14|56
14|55
14|41
14|31
14|22
14|67
14|38
14|33
14|59
14|29
14|53
14|86
14|85
14|43
14|66
14|82
14|11
14|99
14|62
14|68
14|93
14|77
14|34
39|49
39|38
39|31
39|53
39|33
39|34
